code,coding_system,description,entity,list_name,upload_date
916E.00,Read,Patient ethnicity unknown,test,448 - res47: Ethnicity,2016-07-25
918t.00,Read,Carer from Black and minority ethnic group,test,448 - res47: Ethnicity,2016-07-25
9i...00,Read,Ethnic category - 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i0..00,Read,British or mixed British - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i00.00,Read,White British - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i1..00,Read,Irish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i10.00,Read,White Irish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2..00,Read,Other White background - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i20.00,Read,English - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i21.00,Read,Scottish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i22.00,Read,Welsh - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i23.00,Read,Cornish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i24.00,Read,Northern Irish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i25.00,Read,Ulster Scots - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i26.00,Read,Cypriot (part not stated) - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i27.00,Read,Greek - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i28.00,Read,Greek Cypriot - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i29.00,Read,Turkish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2A.00,Read,Turkish Cypriot - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2B.00,Read,Italian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2C.00,Read,Irish Traveller - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2D.00,Read,Traveller - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2E.00,Read,Gypsy/Romany - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2F.00,Read,Polish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2G.00,Read,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2H.00,Read,Commonwealth (Russian) Indep States - ethn categ 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2J.00,Read,Kosovan - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2K.00,Read,Albanian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2L.00,Read,Bosnian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2M.00,Read,Croatian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2N.00,Read,Serbian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2P.00,Read,Other republics former Yugoslavia - ethnic categ 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2Q.00,Read,Mixed Irish and other White - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2R.00,Read,Oth White European/European unsp/Mixed European 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2S.00,Read,Other mixed White - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i2T.00,Read,Other White or White unspecified ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i3..00,Read,White and Black Caribbean - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i4..00,Read,White and Black African - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i5..00,Read,White and Asian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9i6..00,Read,Other Mixed background - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
