Name,Code,Flags
Main spoken language Abkhaz,XaPF8,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Afar,XaPF9,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Afrikaans,XaPFA,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Akan,XaJOq,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Albanian,XaJDK,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Amharic,XaJOr,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Arabic,XaG5p,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Aragonese,XaYWG,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Armenian,XaPFB,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Assamese,XaPFC,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Avaric,Xacfm,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Avestan,Xacfn,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Aymara,XaPFD,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Azerbaijani,XaPFF,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bambara,Xacfo,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bamun,XaRAe,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bashkir,XaPFG,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Basque,XaPFH,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Belarusian,XaPFO,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bengali,XaG5q,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bihari,XaPFK,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bislama,XaPFL,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bosnian,Xacfp,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Brawa,XaJOs,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Breton,XaPFM,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Bulgarian,XaP48,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Burmese,XaPFN,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Cantonese,XaG5r,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Catalan,XaPFQ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Central Khmer,XaPFP,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Chamorro,Xacfq,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Chechen,Xacfr,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Chinese,Xacl1,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Church Slavic,Xacfs,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Chuvash,Xacft,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Cornish,Xacfu,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Corsican,XaPFT,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Cree,Xacfv,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Croatian,XaJDL,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Czech,XaG5s,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Danish,XaPFU,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Dari,XaX4p,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Dhivehi,Xacfw,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Dutch,XaJOt,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Dzongkha,XaPFI,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language English,XaG5t,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Esperanto,XaPFV,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Estonian,XaPFW,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ethiopian,XaJOu,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ewe,Xacfy,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Faeroese,XaPFX,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Farsi,XaIpr,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Fijian,XaPFZ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Filipino,XaQHz,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Finnish,XaKIL,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Flemish,XaJOv,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language French,XaG5u,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language French Creole,XaJOw,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Frisian,XaPFc,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Fulani,XaWQV,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Gaelic,XaJOx,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Galician,XaPFd,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Georgian,XaPFe,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language German,XaJD6,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Greek,XaJDM,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Guarani,XaPFg,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Gujarati,XaG5v,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Haitian,Xacg5,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hakka,XaJOy,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hausa,XaG5w,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hebrew,XaJOz,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Herero,XackP,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hindi,XaG5x,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hindko,XaQht,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hiri Motu,XackQ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Hungarian,XaPFh,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Iban,XaG5y,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Icelandic,XaPFi,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
